"Status","Tittel 1","Tittel 2","sidelenke","sortering","Pris","Pris tillegstekst","Short Description","Skildring","Teknisk","Teknisk, info","Image","Galleri","Standardutstyr","Tittel, motor","Motor, tittel 2","Motor, skildring","Motor, teknisk","Motor, teknisk, info","Publish Date","Unpublish Date","BÅTPAKKAR (Tittel 1)","ID","Created Date","Updated Date","Owner"
"PUBLISHED","Linder 440 Fishing","410 Fishing er en lett robåt med klinkbygd form ideell for innsjøer.","https://www.movesogn.no/linder440","3","<p class=""font_8"">kr 46.900,-</p>","Med Suzuki 5hk pris kr 58.900,-. Frakt tilkommer. ","440 Fishing er en lett, men solid robåt med tradisjonell klinkbygd form, perfekt for hele familien. Egnet for innsjøer, fjorder, øyer og kystfarvann, med mulighet for mindre påhengsmotorer eller elektrisk motor. ","<p class=""font_7""><strong>Produktskildring</strong></p>
<p class=""font_7"">440 Fishing er en lett, men solid robåt med tradisjonell klinkbygd form, perfekt for hele familien. Egnet for innsjøer, fjorder, øyer og kystfarvann, med mulighet for mindre påhengsmotorer eller elektrisk motor.</p>
<p class=""font_7""><br></p>
<p class=""font_7"">Med oppbevaringsplass i bakre og midtre seter, er den ideell for fisketurer og avslappende utflukter. Ny mørkblå dekorstripe for 2021-sesongen gir et friskt utseende. Med markedets laveste drivstofforbruk, er den også et miljøvennlig valg. Produsert i Sverige med korrosjonsbestandig aluminium av høy kvalitet, gir 440 Fishing pålitelighet og lang levetid. Standardutstyr inkluderer aluminiumsårer, badestige og klasse 3-godkjent låseøye foran og akter. Godkjent av Det Norske Veritas med ID-merking via Securmark.</p>","<p class=""font_7""><strong>Teknisk</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Lengde</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Vekt</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Bredde</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Godkjend for inntil HK (hk)</strong></p>
<p class=""font_8""><br></p>","<p class=""font_8"">431cm</p>
<p class=""font_8"">​</p>
<p class=""font_8"">94kg</p>
<p class=""font_8""><br></p>
<p class=""font_8"">164cm</p>
<p class=""font_8"">​</p>
<p class=""font_8"">5hk</p>","wix:image://v1/7646c4_e6c1c1fa651a431a95762c9d586e1d21~mv2.png/image-13011698-5b64-4d1b-ba92-bc3d20064699.jpeg#originWidth=1100&originHeight=600","[{""description"":"""",""fileName"":""image-13011698-5b64-4d1b-ba92-bc3d20064699.jpeg"",""slug"":""7646c4_e6c1c1fa651a431a95762c9d586e1d21~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_e6c1c1fa651a431a95762c9d586e1d21~mv2.png/image-13011698-5b64-4d1b-ba92-bc3d20064699.jpeg#originWidth=1100&originHeight=600"",""title"":""image-13011698-5b64-4d1b-ba92-bc3d20064699.jpeg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_430-9cd70b5d-2010-4711-ae1a-3823d058e278.jpg"",""slug"":""7646c4_b28cfb266f43441f9f796241fa6c2c92~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_b28cfb266f43441f9f796241fa6c2c92~mv2.png/440_Fishing_Linder_430-9cd70b5d-2010-4711-ae1a-3823d058e278.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_430-9cd70b5d-2010-4711-ae1a-3823d058e278.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_1509-b3b795df-7116-4b1b-9fb2-962b389b216b.jpg"",""slug"":""7646c4_7248bff827fd4b7584aaad8388d492dd~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_7248bff827fd4b7584aaad8388d492dd~mv2.png/440_Fishing_Linder_1509-b3b795df-7116-4b1b-9fb2-962b389b216b.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_1509-b3b795df-7116-4b1b-9fb2-962b389b216b.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_Suzuki_0634-c66a2e10-09cc-4bc7-bb0b-9203e.jpg"",""slug"":""7646c4_819ea75d93104355bb6f7b92a5f72c63~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_819ea75d93104355bb6f7b92a5f72c63~mv2.png/440_Fishing_Linder_Suzuki_0634-c66a2e10-09cc-4bc7-bb0b-9203e.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_Suzuki_0634-c66a2e10-09cc-4bc7-bb0b-9203e.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_7485-2e5cfacb-0008-4a82-9841-1c4bde1676ce.jpg"",""slug"":""7646c4_c592c3acc8d54d6b978c37dd4899784c~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_c592c3acc8d54d6b978c37dd4899784c~mv2.png/440_Fishing_Linder_7485-2e5cfacb-0008-4a82-9841-1c4bde1676ce.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_7485-2e5cfacb-0008-4a82-9841-1c4bde1676ce.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_7388-29724e6c-6701-450a-9ac0-14ffe67e0efa.jpg"",""slug"":""7646c4_5025b94203cb45f7bb153963aa253b17~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_5025b94203cb45f7bb153963aa253b17~mv2.png/440_Fishing_Linder_7388-29724e6c-6701-450a-9ac0-14ffe67e0efa.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_7388-29724e6c-6701-450a-9ac0-14ffe67e0efa.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_1220-d78125b3-dd77-4a12-b878-bf70ab8d6df2.jpg"",""slug"":""7646c4_3dd33c1530984b1fa61554d25c5067a9~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_3dd33c1530984b1fa61554d25c5067a9~mv2.png/440_Fishing_Linder_1220-d78125b3-dd77-4a12-b878-bf70ab8d6df2.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_1220-d78125b3-dd77-4a12-b878-bf70ab8d6df2.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_1082_SE-396b776d-dffd-40f2-b40d-b79ce4d0d.jpg"",""slug"":""7646c4_e4acbf0da202465f86ddc851138cf0d7~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_e4acbf0da202465f86ddc851138cf0d7~mv2.png/440_Fishing_Linder_1082_SE-396b776d-dffd-40f2-b40d-b79ce4d0d.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_1082_SE-396b776d-dffd-40f2-b40d-b79ce4d0d.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_1110-9887a94e-5922-4b66-b0a7-b8d6a415a5fd.jpg"",""slug"":""7646c4_d3c64815256d4fb7a23015c39443cab9~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_d3c64815256d4fb7a23015c39443cab9~mv2.png/440_Fishing_Linder_1110-9887a94e-5922-4b66-b0a7-b8d6a415a5fd.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_1110-9887a94e-5922-4b66-b0a7-b8d6a415a5fd.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}},{""description"":"""",""fileName"":""440_Fishing_Linder_1110-5a5e68d1-0cb4-4da6-be5c-b1c7b9295d7d.jpg"",""slug"":""7646c4_22fa39102b40497b9722fb5c8cf21989~mv2.png"",""alt"":"""",""src"":""wix:image://v1/7646c4_22fa39102b40497b9722fb5c8cf21989~mv2.png/440_Fishing_Linder_1110-5a5e68d1-0cb4-4da6-be5c-b1c7b9295d7d.jpg#originWidth=1100&originHeight=600"",""title"":""440_Fishing_Linder_1110-5a5e68d1-0cb4-4da6-be5c-b1c7b9295d7d.jpg"",""type"":""image"",""settings"":{""width"":1100,""height"":600,""focalPoint"":[0.5,0.5]}}]",,,,,,,2025-05-13T11:08:53Z,,"/batpakkar-/linder-440-fishing","19d92fc0-6aca-492f-be48-4603e4609c00",2022-06-17T14:06:45Z,2026-02-26T07:26:55Z,"7646c457-f879-454c-a0d3-d8589ed68356"
"PUBLISHED","Hasle Summer-Fun","Summer-Fun - sporty og tøff ungdomsbåt!","https://www.movesogn.no/summer-fun","1","<p class=""font_8""><strong>Kampanje! kr 71.900,-*</strong></p>","* Veil kr 74.900,- Pris kun båt kr 40.900,-","Hasle Summer Fun er ein rotasjonsstøpt ungdomsbåt i polyetylen. Båten har ein moderne og spennande design, med avrunda linjer. Under fremre sete er det mulegheit for å lagre diverse utstyr som man gjerne har med på tur. Me har mange fargar på lager, og Summer Fun leveres i følgjande fargar: Sort – gul – rød – blå – rosa – lime.

Gaupen-båthenger som passar godt til Summerfun for kr 15.990,-.","<p class=""font_8"">Båten er regnlensende slik at du slepp å tenke på lensing etter kraftige regnskyll.</p>
<h2 class=""font_2""><strong>Produktskildring</strong></h2>
<p class=""font_8""><br></p>
<p class=""font_8"">Båten er CE-sertifisert og tilfredsstiller såleis alle tekniske krav til stabilitet, styrke og køyreeigenskapar. Båten er selvlensende slik at du slepp å tenke på lensing etter kraftige regnskyll. Med sine 27 års erfaring i båt bransjen og 22 års erfaring innan rotasjonsstøping har Hasle A/S klart å kombinere det beste frå design og val av tekniske løysingar med konstruksjons-materialet polyetylen og rotasjonsstøpeteknologi.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Komplett båtpakke med Gaupen henger kr 79.900,- klar til levering.</p>
<p class=""font_8""><br></p>
<p class=""font_7""><strong>Trygging</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Båtane blir produsert i moderne industrilokale med PLS-styrte maskiner. Gjennom kvalitetssikringssystemet vårt er kunden sikra topp kvalitet.</p>
<p class=""font_8"">Produktskildring</p>
<p class=""font_8"">Hasle 365 Summar Fun er konstruert for å vere ein planande båt. Med ein 15 hk motor får ein lett fart på over 20 knop. Ut frå storleiken og skrogutforminga til båten anbefaler produsent motorstorleik frå 10 til 15 hk. Båten får då det nødvendige «trøkk» som framkallar smilet med 15 hk motor på montert</p>
<p class=""font_8""><br></p>
<p class=""font_7""><strong>Design</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Her får ein eit moderne og spennande design, med avrunda linjer. Under fremre sete er det moglegheit for å lagre diverse utstyr som ein gjerne har med på tur.</p>
<p class=""font_8""><br></p>
<p class=""font_7""><strong>Køyre/sittekomfort</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Summer Fun er CE-sertifisert og tilfredsstiller således alle tekniske krav til stabilitet, styrke og kjøreegenskaper.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Båten har en moderne og spennende design, med avrundede linjer. Under fremre sete er det mulighet for å lagre diverse utstyr som man gjerne har med på tur.</p>
<p class=""font_8""><br></p>
<p class=""font_7""><strong>Utstyr</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8"">Styrekonsoll/Ratt,&nbsp;Styrekabel (lengde: 8 fot),&nbsp;Dobbelt sete,&nbsp;Stuverom forut,</p>
<p class=""font_8"">Stammelengde motor: Kort stamme</p>
<p class=""font_8"">Ekstra utstyr som er avhengig av motortype: * Gass-/girkontroll med kabler (kabellengde gir/gass 6 fot) og batteri.</p>","<p class=""font_7""><strong>Teknisk</strong></p>
<p class=""font_8""><br></p>
<p class=""font_8""><strong>Lengde: </strong>365 cm</p>
<p class=""font_8""><strong>Bredde: </strong>157 cm</p>
<p class=""font_8""><strong>Vekt: </strong>140 Kg</p>
<p class=""font_8""><strong>Ant. sitteplasser: </strong>4</p>
<p class=""font_8""><strong>Motor str: </strong>10 - 15 HK</p>
<p class=""font_8""><strong>Kategori CE: </strong>D</p>","<p class=""font_8"">365 cm</p>
<p class=""font_8""><br></p>
<p class=""font_8"">157 cm</p>
<p class=""font_8""><br></p>
<p class=""font_8"">140 Kg</p>
<p class=""font_8""><br></p>
<p class=""font_8"">4</p>
<p class=""font_8""><br></p>
<p class=""font_8"">10 - 15 HK</p>
<p class=""font_8""><br></p>
<p class=""font_8"">D</p>","wix:image://v1/7646c4_02852415ba4848da82948dc45ecb0963~mv2.png/HASLE%20SUMMERFUN.png#originWidth=1200&originHeight=1200","[{""slug"":""7646c4_6b845f86eb63412182ba121a8a28c617~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_6b845f86eb63412182ba121a8a28c617~mv2.jpeg/summerfun2.jpeg#originWidth=707&originHeight=384"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_14bd59d137f8455e8a32d6e9d9518832~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_14bd59d137f8455e8a32d6e9d9518832~mv2.jpeg/summerfun1.jpeg#originWidth=703&originHeight=340"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_5f46af09d5f34e31b4048797d353370d~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_5f46af09d5f34e31b4048797d353370d~mv2.jpeg/summerfun4.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_cca96492078c4724a14ddf107c3b6de6~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_cca96492078c4724a14ddf107c3b6de6~mv2.jpeg/summerfun5.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_c534e3abeab9468fad3dc6c3423e0389~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_c534e3abeab9468fad3dc6c3423e0389~mv2.jpeg/summerfun3.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_04cde48c533346f8931bfe74df4a04e9~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_04cde48c533346f8931bfe74df4a04e9~mv2.jpeg/summerfun15.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_acdbb64873bf43d2bea3c947b90f0434~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_acdbb64873bf43d2bea3c947b90f0434~mv2.jpeg/summerfun14.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_498468e1f87c4d449c42013e1c058ea0~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_498468e1f87c4d449c42013e1c058ea0~mv2.jpeg/summerfun12.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_0e5557e28c184d2e8a1ce53647d92e6b~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_0e5557e28c184d2e8a1ce53647d92e6b~mv2.jpeg/summerfun13.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_0ced8cb53b054a04a192e1cce9c0cb38~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_0ced8cb53b054a04a192e1cce9c0cb38~mv2.jpeg/summerfun11.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_f3f1d2a46f274efc8cb1618655e300a8~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_f3f1d2a46f274efc8cb1618655e300a8~mv2.jpeg/summerfun10.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_c065a055158d4a28829c05f019d37bcc~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_c065a055158d4a28829c05f019d37bcc~mv2.jpeg/summerfun8.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_b5bb9d62d36f46818a136b307afeb4f0~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_b5bb9d62d36f46818a136b307afeb4f0~mv2.jpeg/summerfun9.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_0389ac6b399b475f91dc0cc5b7d2aedb~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_0389ac6b399b475f91dc0cc5b7d2aedb~mv2.jpeg/summerfun7.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}},{""slug"":""7646c4_4ecfbbbafd8e46518dc34379b664c2a8~mv2."",""alt"":"""",""src"":""wix:image://v1/7646c4_4ecfbbbafd8e46518dc34379b664c2a8~mv2.jpeg/summerfun6.jpeg#originWidth=1920&originHeight=1280"",""title"":"""",""type"":""image"",""settings"":{}}]","<p class=""font_7""><strong>Standardutstyr</strong></p>
<ul class=""font_8"">
  <li><p class=""font_8"">Selvdrenering</p></li>
  <li><p class=""font_8"">Styrekonsoll/Ratt</p></li>
  <li><p class=""font_8"">Styrekabel (lengde: 8 fot)</p></li>
  <li><p class=""font_8"">Dobbelt sete</p></li>
  <li><p class=""font_8"">Stuverom forut</p></li>
  <li><p class=""font_8"">Stammelengde motor: Kort stamme</p></li>
</ul>","Suzuki DF9,9BRL","Verdas første 9,9hk motor med EFI","<p class=""font_7""><strong>Produktskildring</strong></p>
<p class=""font_7""><br></p>
<p class=""font_8"">DF9,9B er verdas første 9,9 -hestar med EFI (Elektronisk&nbsp; bensininnsprøytning). Motoren har òg Lean Burn som dei større&nbsp; ""søskena sine"". Lean Burn forbrenningskontroll gir best mogleg drivstofføkonomi&nbsp; og låge utslepp. Vekt frå berre 44 kg! Blir levert i både manuell og el.&nbsp; start utgåve. Rå sprek og lett! Nettopp det du treng!</p>","<p class=""font_8"">Slagvolum (ccm)</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Motortype</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Sylindre</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Effekt (HK/kW)</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Anbefalt turtal</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Stammelengde</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Standard propell</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Vekt (kg)</p>
<p class=""font_8""><br></p>
<p class=""font_8"">Boring x slag</p>
<p class=""font_8""><br></p>","<p class=""font_8"">327</p>
<p class=""font_8""><br></p>
<p class=""font_8"">4-takt OHC</p>
<p class=""font_8""><br></p>
<p class=""font_8"">R2</p>
<p class=""font_8""><br></p>
<p class=""font_8"">9,9 (7,3 kW)</p>
<p class=""font_8""><br></p>
<p class=""font_8"">4700 -5700 O/Min</p>
<p class=""font_8""><br></p>
<p class=""font_8"">S = 381 mm/15"" eller L = 508 mm</p>
<p class=""font_8""><br></p>
<p class=""font_8"">10""</p>
<p class=""font_8""><br></p>
<p class=""font_8"">44 kg (BS) - 48kg (BRL)</p>
<p class=""font_8""><br></p>
<p class=""font_8"">51 x 51</p>",,,"/batpakkar-/hasle-summer-fun","48ff845d-a04e-4772-beb7-94b49944c068",2022-06-17T13:56:29Z,2026-02-26T07:26:23Z,"7646c457-f879-454c-a0d3-d8589ed68356"
